109陽明山慢速壘球聯盟 秋季聯賽 8月16日賽程表(第一週),,,,,,,,,
場次,時間,(山  組),A場地,,(休 閒 組),(陽  組),B場地,,
1,08:00,益  萊,,,獵  狐,,,,
2,09:00,宏  幃,,,益  萊,國真車業,,,牛羊客
3,10:00,獵  狐,,,宏  幃,大日停車場,,,國真車業
4,11:00,黃金台科,,,咚咚強,牛羊客,,,鉅星燈飾
5,12:00,石牌人,,,黃金台科,COMEBUY,,,大日停車場
6,13:00,咚咚強,,,石牌人,鉅星燈飾,,,品  豐
7,14:00,夜  鷹,,,磺  溪,魔人普烏,,,COMEBUY
8,15:00,蝸  牛,,,夜  鷹,品  豐,,,魔人普烏
9,16:00,磺  溪,,,蝸  牛,,,,
場次,時間,(明  組),C場地,,(休 閒 組),備        註,,,
1,08:00,高山校,,,天母慢壘,,,,
2,09:00,自動人,,,高山校,,,,
3,10:00,天母慢壘,,,自動人,,,,
4,11:00,陽壘聯盟,,,Maddog,,,,
5,12:00,協技科技,,,陽壘聯盟,,,,
6,13:00,Maddog,,,協技科技,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 8月23日賽程表(第二週),,,,,,,,,
場次,時間,(休 閒 組),A場地,,,(明  組),B場地,,
1,08:00,東林扶輪社,,,黃金台科,逢  聯,,,FOURTEEN
2,09:00,石牌人,,,東林扶輪社,Maddog,,,逢  聯
3,10:00,黃金台科,,,南港伙車頭,FOURTEEN,,,Maddog
4,11:00,海蛟中隊,,,石牌人,陽壘聯盟,,,弘  泰
5,12:00,南港伙車頭,,,自動人,友勁慢壘,,,陽壘聯盟
6,13:00,咚咚強,,,海蛟中隊,弘  泰,,,友勁慢壘
7,14:00,自動人,,,咚咚強,協技科技,,,正德一隆
8,15:00,,,,,台北鄉民,,,協技科技
9,16:00,,,,,正德一隆,,,台北鄉民
場次,時間,(山  組),C場地,,(陽  組),備        註,,,
1,08:00,夜  鷹,,,宏  幃,,,,
2,09:00,旋  風,,,夜  鷹,,,,
3,10:00,宏  幃,,,旋  風,,,,
4,11:00,益  萊,,,太  和,,,,
5,12:00,陳珀勳診所,,,益  萊,,,,
6,13:00,太  和,,,陳珀勳診所,,,,
7,14:00,江南虎,,,磺  溪,,,,
8,15:00,獵  狐,,,江南虎,,,,
9,16:00,磺  溪,,,獵  狐,,,,
109陽明山慢速壘球聯盟 秋季聯賽 8月30日賽程表(第三週),,,,,,,,,
場次,時間,(陽  組),A場地,,(明  組),(山  組),B場地,,(休 閒 組)
1,08:00,台北鄉民,,,FOURTEEN,鼎捷國際,,,宏  幃
2,09:00,陽壘聯盟,,,台北鄉民,128慢壘,,,鼎捷國際
3,10:00,FOURTEEN,,,陽壘聯盟,宏  幃,,,128慢壘
4,11:00,急先鋒,,,牛羊客,COROKES,,,夜  鷹
5,12:00,利可富,,,急先鋒,江南虎,,,COROKES
6,13:00,牛羊客,,,利可富,夜  鷹,,,江南虎
7,14:00,正德一隆,,,弘  泰,自動人,,,逢聯OB
8,15:00,逢  聯,,,正德一隆,東林扶輪社,,,自動人
9,16:00,弘  泰,,,逢  聯,逢聯OB,,,東林扶輪社
場次,時間,(休 閒 組),C場地,,,備        註,,,
1,08:00,高山校,,,Buddy club,,,,
2,09:00,海蛟中隊,,,高山校,,,,
3,10:00,Buddy club,,,海蛟中隊,,,,
4,11:00,磺  溪,,,旋  風,,,,
5,12:00,太  和,,,磺  溪,,,,
6,13:00,旋  風,,,太  和,,,,
7,14:00,南港伙車頭,,,天母慢壘,,,,
8,15:00,咚咚強,,,南港伙車頭,,,,
9,16:00,天母慢壘,,,咚咚強,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月6日賽程表(第四週),,,,,,,,,
場次,時間,(山  組),A場地,,(休 閒 組),(明  組),B場地,,(山  組)
1,08:00,南港伙車頭,,,高山校,磺  溪,,,陳珀勳診所
2,09:00,石牌人,,,南港伙車頭,宏  幃,,,磺  溪
3,10:00,高山校,,,石牌人,陳珀勳診所,,,宏  幃
4,11:00,Buddy club,,,咚咚強,CEN YU,,,正德一隆
5,12:00,逢聯OB,,,Buddy club,FOURTEEN,,,CEN YU
6,13:00,咚咚強,,,逢聯OB,正德一隆,,,FOURTEEN
7,14:00,益  萊,,,蝸  牛,FOCUS,,,協技科技
8,15:00,江南虎,,,益  萊,逢  聯,,,FOCUS
9,16:00,蝸  牛,,,江南虎,協技科技,,,逢  聯
場次,時間,(陽  組),C場地,,,備        註,,,
1,08:00,品  豐,,,悍  馬,,,,
2,09:00,國真車業,,,品  豐,,,,
3,10:00,悍  馬,,,國真車業,,,,
4,11:00,廣杰矽膠,,,急先鋒,,,,
5,12:00,COMEBUY,,,廣杰矽膠,,,,
6,13:00,急先鋒,,,COMEBUY,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月13日賽程表(第五週),,,,,,,,,
場次,時間,(山  組),A場地,,(陽  組),(休 閒 組),B場地,,
1,08:00,蝸  牛,,,128慢壘,高山校,,,東林扶輪社
2,09:00,獵  狐,,,蝸  牛,咚咚強,,,高山校
3,10:00,128慢壘,,,獵  狐,東林扶輪社,,,咚咚強
4,11:00,旋  風,,,益  萊,天母慢壘,,,石牌人
5,12:00,COROKES,,,旋  風,逢聯OB,,,天母慢壘
6,13:00,益  萊,,,COROKES,石牌人,,,逢聯OB
7,14:00,鉅星燈飾,,,魔人普烏,海蛟中隊,,,自動人
8,15:00,利可富,,,鉅星燈飾,黃金台科,,,海蛟中隊
9,16:00,魔人普烏,,,利可富,自動人,,,黃金台科
場次,時間,(明  組),C場地,,,備        註,,,
1,08:00,FOURTEEN,,,協技科技,,,,
2,09:00,友勁慢壘,,,FOURTEEN,,,,
3,10:00,協技科技,,,友勁慢壘,,,,
4,11:00,FOCUS,,,陽壘聯盟,,,,
5,12:00,正德一隆,,,FOCUS,,,,
6,13:00,陽壘聯盟,,,正德一隆,,,,
7,14:00,弘  泰,,,Maddog,,,,
8,15:00,台北鄉民,,,弘  泰,,,,
9,16:00,Maddog,,,台北鄉民,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月20日賽程表(第六週),,,,,,,,,
