110陽明山慢速壘球聯盟 春季熱身賽 12月06日賽程表(第一週),,,,,,,,,
場次,時間,(運動組),A場地,,(活力組),(有勁組),B場地,,
1,08:00, 夜 鷹,,,Buddy club,悍 馬,,, 逢 聯
2,09:00, 江南虎,,, 夜 鷹,大日停車場,,,悍 馬
3,10:00,Buddy club,,, 江南虎, 逢 聯,,,大日停車場
4,11:00,磺 溪,,,自動人, 利可富,,, 鉅星燈飾
5,12:00,東林扶輪社,,,磺 溪, Comebuy,,, 利可富
6,13:00,自動人,,,東林扶輪社, 鉅星燈飾,,, Comebuy
7,14:00,COROKES,,, 陽壘聯盟,Maddog,,,蝸  牛
8,15:00,Fourteen,,,COROKES,cen yu,,,Maddog
9,16:00, 陽壘聯盟,,,Fourteen,蝸  牛,,,cen yu
場次,時間,,C場地,,(樂 活 組),備       註,,,
1,08:00,咚咚強,,,獵 狐,,,,
2,09:00, 石牌人,,,咚咚強,,,,
3,10:00,獵 狐,,, 石牌人,,,,
4,11:00,海蛟中隊,,,可樂旅遊,,,,
5,12:00, 南港伙車頭,,,海蛟中隊,,,,
6,13:00,可樂旅遊,,, 南港伙車頭,,,,
7,14:00, 天 母,,,高山校,,,,
8,15:00,逢聯OB,,, 天 母,,,,
9,16:00,高山校,,,逢聯OB,,,,
110陽明山慢速壘球聯盟 春季熱身賽 12月13日賽程表(第二週),,,,,,,,,
場次,時間,(活力組),A場地,,,(運動組),B場地,,
1,08:00,旋 風,,,Fourteen,東林扶輪社,,, 黃金台科
2,09:00,宏 幃,,,旋 風,Buddy club,,,東林扶輪社
3,10:00,Fourteen,,,宏 幃, 黃金台科,,,Buddy club
4,11:00,陳珀勳診所,,,鼎捷國際,自動人,,,益 萊
5,12:00,COROKES,,,陳珀勳診所, 夜 鷹,,,自動人
6,13:00,鼎捷國際,,,COROKES,益 萊,,, 夜 鷹
7,14:00, 陽壘聯盟,,, 協技科技,太和騰,,,磺 溪
8,15:00,正德一隆,,, 陽壘聯盟, 江南虎,,,太和騰
9,16:00, 協技科技,,,正德一隆,磺 溪,,, 江南虎
場次,時間,(有勁組),C場地,,(樂 活 組),備       註,,,
1,08:00,獵 狐,,,逢聯OB,,,,
2,09:00,可樂旅遊,,,獵 狐,,,,
