Subject,Start Date,End Date,Start Time,End Time,Location
128慢壘 vs 鼎捷國際,08/30/2020,08/30/2020,09:00 AM,10:00 AM,B場地
宏幃 vs 128慢壘,08/30/2020,08/30/2020,10:00 AM,11:00 AM,B場地
蝸牛 vs 128慢壘,09/13/2020,09/13/2020,08:00 AM,09:00 AM,A場地
128慢壘 vs 獵狐,09/13/2020,09/13/2020,10:00 AM,11:00 AM,A場地
128慢壘 vs 江南虎,09/20/2020,09/20/2020,09:00 AM,10:00 AM,C場地
旋風 vs 128慢壘,09/20/2020,09/20/2020,10:00 AM,11:00 AM,C場地
磺溪 vs 128慢壘,09/27/2020,09/27/2020,11:00 AM,12:00 PM,B場地
128慢壘 vs 益萊,09/27/2020,09/27/2020,01:00 PM,02:00 PM,B場地
128慢壘 vs 太和,10/18/2020,10/18/2020,12:00 PM,01:00 PM,A場地
夜鷹 vs 128慢壘,10/18/2020,10/18/2020,01:00 PM,02:00 PM,A場地
128慢壘 vs COROKES,10/25/2020,10/25/2020,02:00 PM,03:00 PM,B場地
陳珀勳診所 vs 128慢壘,10/25/2020,10/25/2020,03:00 PM,04:00 PM,B場地
