Subject,Start Date,End Date,Start Time,End Time,Location
高山校 vs Buddyclub,08/30/2020,08/30/2020,08:00 AM,09:00 AM,C場地
Buddyclub vs 海蛟中隊,08/30/2020,08/30/2020,10:00 AM,11:00 AM,C場地
Buddyclub vs 咚咚強,09/06/2020,09/06/2020,11:00 AM,12:00 PM,A場地
逢聯OB vs Buddyclub,09/06/2020,09/06/2020,12:00 PM,01:00 PM,A場地
石牌人 vs Buddyclub,09/20/2020,09/20/2020,08:00 AM,09:00 AM,A場地
Buddyclub vs 自動人,09/20/2020,09/20/2020,10:00 AM,11:00 AM,A場地
Buddyclub vs 黃金台科,09/27/2020,09/27/2020,08:00 AM,09:00 AM,A場地
天母慢壘 vs Buddyclub,09/27/2020,09/27/2020,09:00 AM,10:00 AM,A場地
Buddyclub vs 南港伙車頭,11/01/2020,11/01/2020,11:00 AM,12:00 PM,A場地
東林扶輪社 vs Buddyclub,11/01/2020,11/01/2020,12:00 PM,01:00 PM,A場地
