Subject,Start Date,End Date,Start Time,End Time,Location
逢聯 vs FOURTEEN,08/23/2020,08/23/2020,08:00 AM,09:00 AM,B場地
FOURTEEN vs Maddog,08/23/2020,08/23/2020,10:00 AM,11:00 AM,B場地
台北鄉民 vs FOURTEEN,08/30/2020,08/30/2020,08:00 AM,09:00 AM,A場地
FOURTEEN vs 陽壘聯盟,08/30/2020,08/30/2020,10:00 AM,11:00 AM,A場地
FOURTEEN vs CENYU,09/06/2020,09/06/2020,12:00 PM,01:00 PM,B場地
正德一隆 vs FOURTEEN,09/06/2020,09/06/2020,01:00 PM,02:00 PM,B場地
FOURTEEN vs 協技科技,09/13/2020,09/13/2020,08:00 AM,09:00 AM,C場地
友勁慢壘 vs FOURTEEN,09/13/2020,09/13/2020,09:00 AM,10:00 AM,C場地
FOURTEEN vs 弘泰,09/27/2020,09/27/2020,03:00 PM,04:00 PM,A場地
FOCUS vs FOURTEEN,09/27/2020,09/27/2020,04:00 PM,05:00 PM,A場地
