Subject,Start Date,End Date,Start Time,End Time,Location
台北鄉民 vs 協技科技,08/23/2020,08/23/2020,03:00 PM,04:00 PM,A場地
正德一隆 vs 台北鄉民,08/23/2020,08/23/2020,04:00 PM,05:00 PM,A場地
台北鄉民 vs FOURTEEN,08/30/2020,08/30/2020,08:00 AM,09:00 AM,A場地
陽壘聯盟 vs 台北鄉民,08/30/2020,08/30/2020,09:00 AM,10:00 AM,A場地
台北鄉民 vs 弘泰,09/13/2020,09/13/2020,03:00 PM,04:00 PM,C場地
Maddog vs 台北鄉民,09/13/2020,09/13/2020,04:00 PM,05:00 PM,C場地
台北鄉民 vs 逢聯,09/27/2020,09/27/2020,11:00 AM,12:00 PM,A場地
CENYU vs 台北鄉民,09/27/2020,09/27/2020,12:00 PM,01:00 PM,A場地
台北鄉民 vs 友勁慢壘,10/18/2020,10/18/2020,09:00 AM,10:00 AM,C場地
FOCUS vs 台北鄉民,10/18/2020,10/18/2020,11:00 AM,12:00 PM,C場地
