Subject,Start Date,End Date,Start Time,End Time,Location
石牌人 vs 黃金台科,08/16/2020,08/16/2020,12:00 PM,01:00 PM,A場地
咚咚強 vs 石牌人,08/16/2020,08/16/2020,01:00 PM,02:00 PM,A場地
石牌人 vs 東林扶輪社,08/23/2020,08/23/2020,09:00 AM,10:00 AM,A場地
海蛟中隊 vs 石牌人,08/23/2020,08/23/2020,11:00 AM,12:00 PM,A場地
石牌人 vs 南港伙車頭,09/06/2020,09/06/2020,09:00 AM,10:00 AM,A場地
高山校 vs 石牌人,09/06/2020,09/06/2020,10:00 AM,11:00 AM,A場地
天母慢壘 vs 石牌人,09/13/2020,09/13/2020,11:00 AM,12:00 PM,B場地
石牌人 vs 逢聯OB,09/13/2020,09/13/2020,01:00 PM,02:00 PM,B場地
石牌人 vs Buddyclub,09/20/2020,09/20/2020,08:00 AM,09:00 AM,A場地
自動人 vs 石牌人,09/20/2020,09/20/2020,09:00 AM,10:00 AM,A場地
