Subject,Start Date,End Date,Start Time,End Time,Location
蝸牛 vs 夜鷹,08/16/2020,08/16/2020,03:00 PM,04:00 PM,A場地
磺溪 vs 蝸牛,08/16/2020,08/16/2020,04:00 PM,05:00 PM,A場地
益萊 vs 蝸牛,09/06/2020,09/06/2020,02:00 PM,03:00 PM,A場地
蝸牛 vs 江南虎,09/06/2020,09/06/2020,04:00 PM,05:00 PM,A場地
蝸牛 vs 128慢壘,09/13/2020,09/13/2020,08:00 AM,09:00 AM,A場地
獵狐 vs 蝸牛,09/13/2020,09/13/2020,09:00 AM,10:00 AM,A場地
蝸牛 vs 宏幃,09/20/2020,09/20/2020,03:00 PM,04:00 PM,B場地
COROKES vs 蝸牛,09/20/2020,09/20/2020,04:00 PM,05:00 PM,B場地
蝸牛 vs 鼎捷國際,09/27/2020,09/27/2020,03:00 PM,04:00 PM,B場地
太和 vs 蝸牛,09/27/2020,09/27/2020,04:00 PM,05:00 PM,B場地
旋風 vs 蝸牛,10/18/2020,10/18/2020,08:00 AM,09:00 AM,A場地
蝸牛 vs 陳珀勳診所,10/18/2020,10/18/2020,10:00 AM,11:00 AM,A場地
