Subject,Start Date,End Date,Start Time,End Time,Location
陳珀勳診所 vs 益萊,08/23/2020,08/23/2020,12:00 PM,01:00 PM,C場地
太和 vs 陳珀勳診所,08/23/2020,08/23/2020,01:00 PM,02:00 PM,C場地
磺溪 vs 陳珀勳診所,09/06/2020,09/06/2020,08:00 AM,09:00 AM,B場地
陳珀勳診所 vs 宏幃,09/06/2020,09/06/2020,10:00 AM,11:00 AM,B場地
夜鷹 vs 陳珀勳診所,09/27/2020,09/27/2020,08:00 AM,09:00 AM,B場地
陳珀勳診所 vs 獵狐,09/27/2020,09/27/2020,10:00 AM,11:00 AM,B場地
陳珀勳診所 vs 旋風,10/18/2020,10/18/2020,09:00 AM,10:00 AM,A場地
蝸牛 vs 陳珀勳診所,10/18/2020,10/18/2020,10:00 AM,11:00 AM,A場地
陳珀勳診所 vs 128慢壘,10/25/2020,10/25/2020,03:00 PM,04:00 PM,B場地
COROKES vs 陳珀勳診所,10/25/2020,10/25/2020,04:00 PM,05:00 PM,B場地
陳珀勳診所 vs 鼎捷國際,11/01/2020,11/01/2020,03:00 PM,04:00 PM,A場地
江南虎 vs 陳珀勳診所,11/01/2020,11/01/2020,04:00 PM,05:00 PM,A場地
