Subject,Start Date,End Date,Start Time,End Time,Location
黃金台科 vs 咚咚強,08/16/2020,08/16/2020,11:00 AM,12:00 PM,A場地
石牌人 vs 黃金台科,08/16/2020,08/16/2020,12:00 PM,01:00 PM,A場地
東林扶輪社 vs 黃金台科,08/23/2020,08/23/2020,08:00 AM,09:00 AM,A場地
黃金台科 vs 南港伙車頭,08/23/2020,08/23/2020,10:00 AM,11:00 AM,A場地
黃金台科 vs 海蛟中隊,09/13/2020,09/13/2020,03:00 PM,04:00 PM,B場地
自動人 vs 黃金台科,09/13/2020,09/13/2020,04:00 PM,05:00 PM,B場地
Buddyclub vs 黃金台科,09/27/2020,09/27/2020,08:00 AM,09:00 AM,A場地
黃金台科 vs 天母慢壘,09/27/2020,09/27/2020,10:00 AM,11:00 AM,A場地
黃金台科 vs 高山校,11/01/2020,11/01/2020,08:00 AM,09:00 AM,A場地
逢聯OB vs 黃金台科,11/01/2020,11/01/2020,09:00 AM,10:00 AM,A場地
