Subject,Start Date,End Date,Start Time,End Time,Description,Location
CENYU vs 正德一隆,09/06/2020,09/06/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
FOURTEEN vs CENYU,09/06/2020,09/06/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
協技科技 vs CENYU,09/20/2020,09/20/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
CENYU vs 弘泰,09/20/2020,09/20/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
CENYU vs 台北鄉民,09/27/2020,09/27/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
逢聯 vs CENYU,09/27/2020,09/27/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
陽壘聯盟 vs CENYU,10/18/2020,10/18/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
CENYU vs Maddog,10/18/2020,10/18/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
CENYU vs FOCUS,11/01/2020,11/01/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
友勁慢壘 vs CENYU,11/01/2020,11/01/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
