Subject,Start Date,End Date,Start Time,End Time,Description,Location
COROKES vs 夜鷹,08/30/2020,08/30/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
江南虎 vs COROKES,08/30/2020,08/30/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 旋風,09/13/2020,09/13/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
益萊 vs COROKES,09/13/2020,09/13/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
宏幃 vs COROKES,09/20/2020,09/20/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 蝸牛,09/20/2020,09/20/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 鼎捷國際,10/18/2020,10/18/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
磺溪 vs COROKES,10/18/2020,10/18/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
128慢壘 vs COROKES,10/25/2020,10/25/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 陳珀勳診所,10/25/2020,10/25/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 獵狐,11/01/2020,11/01/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
太和 vs COROKES,11/01/2020,11/01/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
