Subject,Start Date,End Date,Start Time,End Time,Description,Location
協技科技 vs 陽壘聯盟,08/16/2020,08/16/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
Maddog vs 協技科技,08/16/2020,08/16/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
協技科技 vs 正德一隆,08/23/2020,08/23/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
台北鄉民 vs 協技科技,08/23/2020,08/23/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
FOCUS vs 協技科技,09/06/2020,09/06/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
協技科技 vs 逢聯,09/06/2020,09/06/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
FOURTEEN vs 協技科技,09/13/2020,09/13/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
協技科技 vs 友勁慢壘,09/13/2020,09/13/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
協技科技 vs CENYU,09/20/2020,09/20/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
弘泰 vs 協技科技,09/20/2020,09/20/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
