Subject,Start Date,End Date,Start Time,End Time,Description,Location
友勁慢壘 vs 陽壘聯盟,08/23/2020,08/23/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
弘泰 vs 友勁慢壘,08/23/2020,08/23/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
友勁慢壘 vs FOURTEEN,09/13/2020,09/13/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
協技科技 vs 友勁慢壘,09/13/2020,09/13/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
友勁慢壘 vs 逢聯,10/18/2020,10/18/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
台北鄉民 vs 友勁慢壘,10/18/2020,10/18/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
Maddog vs 友勁慢壘,10/25/2020,10/25/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
友勁慢壘 vs 正德一隆,10/25/2020,10/25/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
FOCUS vs 友勁慢壘,11/01/2020,11/01/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
友勁慢壘 vs CENYU,11/01/2020,11/01/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
