Subject,Start Date,End Date,Start Time,End Time,Description,Location
黃金台科 vs 咚咚強,08/16/2020,08/16/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 石牌人,08/16/2020,08/16/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 海蛟中隊,08/23/2020,08/23/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
自動人 vs 咚咚強,08/23/2020,08/23/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 南港伙車頭,08/30/2020,08/30/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
天母慢壘 vs 咚咚強,08/30/2020,08/30/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
Buddyclub vs 咚咚強,09/06/2020,09/06/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 逢聯OB,09/06/2020,09/06/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 高山校,09/13/2020,09/13/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
東林扶輪社 vs 咚咚強,09/13/2020,09/13/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
