Subject,Start Date,End Date,Start Time,End Time,Description,Location
國真車業 vs 牛羊客,08/16/2020,08/16/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 國真車業,08/16/2020,08/16/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
國真車業 vs 品豐,09/06/2020,09/06/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
悍馬 vs 國真車業,09/06/2020,09/06/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
廣杰矽膠 vs 國真車業,09/27/2020,09/27/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
國真車業 vs 魔人普烏,09/27/2020,09/27/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
利可富 vs 國真車業,10/18/2020,10/18/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
國真車業 vs COMEBUY,10/18/2020,10/18/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
國真車業 vs 急先鋒,10/25/2020,10/25/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs 國真車業,10/25/2020,10/25/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
