Subject,Start Date,End Date,Start Time,End Time,Description,Location
夜鷹 vs 磺溪,08/16/2020,08/16/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
蝸牛 vs 夜鷹,08/16/2020,08/16/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
夜鷹 vs 宏幃,08/23/2020,08/23/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
旋風 vs 夜鷹,08/23/2020,08/23/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
COROKES vs 夜鷹,08/30/2020,08/30/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
夜鷹 vs 江南虎,08/30/2020,08/30/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
夜鷹 vs 鼎捷國際,09/20/2020,09/20/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
益萊 vs 夜鷹,09/20/2020,09/20/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
夜鷹 vs 陳珀勳診所,09/27/2020,09/27/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
獵狐 vs 夜鷹,09/27/2020,09/27/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
太和 vs 夜鷹,10/18/2020,10/18/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
夜鷹 vs 128慢壘,10/18/2020,10/18/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
