Subject,Start Date,End Date,Start Time,End Time,Description,Location
大日停車場 vs 國真車業,08/16/2020,08/16/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COMEBUY vs 大日停車場,08/16/2020,08/16/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 急先鋒,09/20/2020,09/20/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
品豐 vs 大日停車場,09/20/2020,09/20/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 悍馬,09/27/2020,09/27/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
利可富 vs 大日停車場,09/27/2020,09/27/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
大日停車場 vs 鉅星燈飾,10/18/2020,10/18/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 大日停車場,10/18/2020,10/18/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 魔人普烏,10/25/2020,10/25/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
牛羊客 vs 大日停車場,10/25/2020,10/25/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
