Subject,Start Date,End Date,Start Time,End Time,Description,Location
益萊 vs 太和,08/23/2020,08/23/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
太和 vs 陳珀勳診所,08/23/2020,08/23/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
太和 vs 磺溪,08/30/2020,08/30/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
旋風 vs 太和,08/30/2020,08/30/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 太和,09/27/2020,09/27/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
太和 vs 蝸牛,09/27/2020,09/27/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
太和 vs 夜鷹,10/18/2020,10/18/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
128慢壘 vs 太和,10/18/2020,10/18/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
太和 vs 江南虎,10/25/2020,10/25/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
宏幃 vs 太和,10/25/2020,10/25/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
太和 vs COROKES,11/01/2020,11/01/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
獵狐 vs 太和,11/01/2020,11/01/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
