Subject,Start Date,End Date,Start Time,End Time,Description,Location
廣杰矽膠 vs 急先鋒,09/06/2020,09/06/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
COMEBUY vs 廣杰矽膠,09/06/2020,09/06/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
牛羊客 vs 廣杰矽膠,09/20/2020,09/20/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 悍馬,09/20/2020,09/20/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 國真車業,09/27/2020,09/27/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
魔人普烏 vs 廣杰矽膠,09/27/2020,09/27/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鉅星燈飾 vs 廣杰矽膠,10/18/2020,10/18/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 大日停車場,10/18/2020,10/18/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 利可富,10/25/2020,10/25/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
品豐 vs 廣杰矽膠,10/25/2020,10/25/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
