Subject,Start Date,End Date,Start Time,End Time,Description,Location
陽壘聯盟 vs 弘泰,08/23/2020,08/23/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
弘泰 vs 友勁慢壘,08/23/2020,08/23/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
正德一隆 vs 弘泰,08/30/2020,08/30/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
弘泰 vs 逢聯,08/30/2020,08/30/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
弘泰 vs Maddog,09/13/2020,09/13/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
台北鄉民 vs 弘泰,09/13/2020,09/13/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
弘泰 vs 協技科技,09/20/2020,09/20/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
CENYU vs 弘泰,09/20/2020,09/20/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
弘泰 vs FOCUS,09/27/2020,09/27/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
FOURTEEN vs 弘泰,09/27/2020,09/27/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
