Subject,Start Date,End Date,Start Time,End Time,Description,Location
急先鋒 vs 牛羊客,08/30/2020,08/30/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
利可富 vs 急先鋒,08/30/2020,08/30/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
廣杰矽膠 vs 急先鋒,09/06/2020,09/06/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
急先鋒 vs COMEBUY,09/06/2020,09/06/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
大日停車場 vs 急先鋒,09/20/2020,09/20/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 品豐,09/20/2020,09/20/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 魔人普烏,10/18/2020,10/18/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 急先鋒,10/18/2020,10/18/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 鉅星燈飾,10/25/2020,10/25/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
國真車業 vs 急先鋒,10/25/2020,10/25/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
