Subject,Start Date,End Date,Start Time,End Time,Description,Location
品豐 vs 悍馬,09/06/2020,09/06/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
悍馬 vs 國真車業,09/06/2020,09/06/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
悍馬 vs 牛羊客,09/20/2020,09/20/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
廣杰矽膠 vs 悍馬,09/20/2020,09/20/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 利可富,09/27/2020,09/27/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
大日停車場 vs 悍馬,09/27/2020,09/27/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
魔人普烏 vs 悍馬,10/18/2020,10/18/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 急先鋒,10/18/2020,10/18/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 鉅星燈飾,11/01/2020,11/01/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COMEBUY vs 悍馬,11/01/2020,11/01/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
