Subject,Start Date,End Date,Start Time,End Time,Description,Location
協技科技 vs 正德一隆,08/23/2020,08/23/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
正德一隆 vs 台北鄉民,08/23/2020,08/23/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
正德一隆 vs 弘泰,08/30/2020,08/30/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
逢聯 vs 正德一隆,08/30/2020,08/30/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
CENYU vs 正德一隆,09/06/2020,09/06/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
正德一隆 vs FOURTEEN,09/06/2020,09/06/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
正德一隆 vs FOCUS,09/13/2020,09/13/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
陽壘聯盟 vs 正德一隆,09/13/2020,09/13/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
正德一隆 vs Maddog,10/25/2020,10/25/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
友勁慢壘 vs 正德一隆,10/25/2020,10/25/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
