Subject,Start Date,End Date,Start Time,End Time,Description,Location
江南虎 vs 磺溪,08/23/2020,08/23/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
獵狐 vs 江南虎,08/23/2020,08/23/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
江南虎 vs COROKES,08/30/2020,08/30/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
夜鷹 vs 江南虎,08/30/2020,08/30/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
江南虎 vs 益萊,09/06/2020,09/06/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
蝸牛 vs 江南虎,09/06/2020,09/06/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
江南虎 vs 旋風,09/20/2020,09/20/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
128慢壘 vs 江南虎,09/20/2020,09/20/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
太和 vs 江南虎,10/25/2020,10/25/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
江南虎 vs 宏幃,10/25/2020,10/25/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 江南虎,11/01/2020,11/01/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
江南虎 vs 陳珀勳診所,11/01/2020,11/01/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
