Subject,Start Date,End Date,Start Time,End Time,Description,Location
國真車業 vs 牛羊客,08/16/2020,08/16/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
牛羊客 vs 鉅星燈飾,08/16/2020,08/16/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 牛羊客,08/30/2020,08/30/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
牛羊客 vs 利可富,08/30/2020,08/30/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
牛羊客 vs 廣杰矽膠,09/20/2020,09/20/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 牛羊客,09/20/2020,09/20/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
牛羊客 vs COMEBUY,09/27/2020,09/27/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
品豐 vs 牛羊客,09/27/2020,09/27/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
牛羊客 vs 大日停車場,10/25/2020,10/25/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
魔人普烏 vs 牛羊客,10/25/2020,10/25/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
