Subject,Start Date,End Date,Start Time,End Time,Description,Location
益萊 vs 獵狐,08/16/2020,08/16/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
獵狐 vs 宏幃,08/16/2020,08/16/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
獵狐 vs 江南虎,08/23/2020,08/23/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
磺溪 vs 獵狐,08/23/2020,08/23/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
獵狐 vs 蝸牛,09/13/2020,09/13/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
128慢壘 vs 獵狐,09/13/2020,09/13/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
獵狐 vs 夜鷹,09/27/2020,09/27/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
陳珀勳診所 vs 獵狐,09/27/2020,09/27/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
獵狐 vs 旋風,10/25/2020,10/25/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 獵狐,10/25/2020,10/25/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
COROKES vs 獵狐,11/01/2020,11/01/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
獵狐 vs 太和,11/01/2020,11/01/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
