Subject,Start Date,End Date,Start Time,End Time,Description,Location
益萊 vs 獵狐,08/16/2020,08/16/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
宏幃 vs 益萊,08/16/2020,08/16/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
益萊 vs 太和,08/23/2020,08/23/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
陳珀勳診所 vs 益萊,08/23/2020,08/23/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
益萊 vs 蝸牛,09/06/2020,09/06/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
江南虎 vs 益萊,09/06/2020,09/06/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
旋風 vs 益萊,09/13/2020,09/13/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
益萊 vs COROKES,09/13/2020,09/13/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
鼎捷國際 vs 益萊,09/20/2020,09/20/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
益萊 vs 夜鷹,09/20/2020,09/20/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
益萊 vs 磺溪,09/27/2020,09/27/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
128慢壘 vs 益萊,09/27/2020,09/27/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
