Subject,Start Date,End Date,Start Time,End Time,Description,Location
自動人 vs 高山校,08/16/2020,08/16/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
天母慢壘 vs 自動人,08/16/2020,08/16/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
南港伙車頭 vs 自動人,08/23/2020,08/23/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
自動人 vs 咚咚強,08/23/2020,08/23/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
自動人 vs 逢聯OB,08/30/2020,08/30/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
東林扶輪社 vs 自動人,08/30/2020,08/30/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
海蛟中隊 vs 自動人,09/13/2020,09/13/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
自動人 vs 黃金台科,09/13/2020,09/13/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
自動人 vs 石牌人,09/20/2020,09/20/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
Buddyclub vs 自動人,09/20/2020,09/20/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
