Subject,Start Date,End Date,Start Time,End Time,Description,Location
自動人 vs 逢聯OB,08/30/2020,08/30/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
逢聯OB vs 東林扶輪社,08/30/2020,08/30/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
逢聯OB vs Buddyclub,09/06/2020,09/06/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
咚咚強 vs 逢聯OB,09/06/2020,09/06/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
逢聯OB vs 天母慢壘,09/13/2020,09/13/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
石牌人 vs 逢聯OB,09/13/2020,09/13/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
海蛟中隊 vs 逢聯OB,10/25/2020,10/25/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
逢聯OB vs 南港伙車頭,10/25/2020,10/25/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
逢聯OB vs 黃金台科,11/01/2020,11/01/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
高山校 vs 逢聯OB,11/01/2020,11/01/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
