Subject,Start Date,End Date,Start Time,End Time,Description,Location
牛羊客 vs 鉅星燈飾,08/16/2020,08/16/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs 品豐,08/16/2020,08/16/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs 魔人普烏,09/13/2020,09/13/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
利可富 vs 鉅星燈飾,09/13/2020,09/13/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
鉅星燈飾 vs 廣杰矽膠,10/18/2020,10/18/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 鉅星燈飾,10/18/2020,10/18/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 鉅星燈飾,10/25/2020,10/25/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs 國真車業,10/25/2020,10/25/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs COMEBUY,11/01/2020,11/01/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
悍馬 vs 鉅星燈飾,11/01/2020,11/01/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
