Subject,Start Date,End Date,Start Time,End Time,Description,Location
高山校 vs 天母慢壘,08/16/2020,08/16/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
自動人 vs 高山校,08/16/2020,08/16/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
高山校 vs Buddyclub,08/30/2020,08/30/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
海蛟中隊 vs 高山校,08/30/2020,08/30/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
南港伙車頭 vs 高山校,09/06/2020,09/06/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
高山校 vs 石牌人,09/06/2020,09/06/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
高山校 vs 東林扶輪社,09/13/2020,09/13/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
咚咚強 vs 高山校,09/13/2020,09/13/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
黃金台科 vs 高山校,11/01/2020,11/01/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
高山校 vs 逢聯OB,11/01/2020,11/01/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
