Subject,Start Date,End Date,Start Time,End Time,Description,Location
魔人普烏 vs COMEBUY,08/16/2020,08/16/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
品豐 vs 魔人普烏,08/16/2020,08/16/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鉅星燈飾 vs 魔人普烏,09/13/2020,09/13/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
魔人普烏 vs 利可富,09/13/2020,09/13/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
魔人普烏 vs 廣杰矽膠,09/27/2020,09/27/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
國真車業 vs 魔人普烏,09/27/2020,09/27/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
魔人普烏 vs 悍馬,10/18/2020,10/18/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
急先鋒 vs 魔人普烏,10/18/2020,10/18/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
大日停車場 vs 魔人普烏,10/25/2020,10/25/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
魔人普烏 vs 牛羊客,10/25/2020,10/25/2020,10:00 AM,11:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
