Subject,Start Date,End Date,Start Time,End Time,Description,Location
鼎捷國際 vs 宏幃,08/30/2020,08/30/2020,08:00 AM,09:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
128慢壘 vs 鼎捷國際,08/30/2020,08/30/2020,09:00 AM,10:00 AM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
鼎捷國際 vs 益萊,09/20/2020,09/20/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
夜鷹 vs 鼎捷國際,09/20/2020,09/20/2020,12:00 PM,01:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 太和,09/27/2020,09/27/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
蝸牛 vs 鼎捷國際,09/27/2020,09/27/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,B場地
COROKES vs 鼎捷國際,10/18/2020,10/18/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
鼎捷國際 vs 磺溪,10/18/2020,10/18/2020,04:00 PM,05:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
旋風 vs 鼎捷國際,10/25/2020,10/25/2020,11:00 AM,12:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 獵狐,10/25/2020,10/25/2020,01:00 PM,02:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,C場地
鼎捷國際 vs 江南虎,11/01/2020,11/01/2020,02:00 PM,03:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
陳珀勳診所 vs 鼎捷國際,11/01/2020,11/01/2020,03:00 PM,04:00 PM,2020 陽明山慢速壘球聯盟 秋季聯賽,A場地
