Subject,Start Date,End Date,Start Time,End Time,Location
COMEBUY vs 大日停車場,08/16/2020,08/16/2020,12:00 PM,01:00 PM,B場地
魔人普烏 vs COMEBUY,08/16/2020,08/16/2020,02:00 PM,03:00 PM,B場地
COMEBUY vs 廣杰矽膠,09/06/2020,09/06/2020,12:00 PM,01:00 PM,C場地
急先鋒 vs COMEBUY,09/06/2020,09/06/2020,01:00 PM,02:00 PM,C場地
COMEBUY vs 品豐,09/27/2020,09/27/2020,11:00 AM,12:00 PM,C場地
牛羊客 vs COMEBUY,09/27/2020,09/27/2020,12:00 PM,01:00 PM,C場地
COMEBUY vs 利可富,10/18/2020,10/18/2020,03:00 PM,04:00 PM,B場地
國真車業 vs COMEBUY,10/18/2020,10/18/2020,04:00 PM,05:00 PM,B場地
鉅星燈飾 vs COMEBUY,11/01/2020,11/01/2020,02:00 PM,03:00 PM,B場地
COMEBUY vs 悍馬,11/01/2020,11/01/2020,04:00 PM,05:00 PM,B場地
