Subject,Start Date,End Date,Start Time,End Time,Location
FOCUS vs 協技科技,09/06/2020,09/06/2020,02:00 PM,03:00 PM,B場地
逢聯 vs FOCUS,09/06/2020,09/06/2020,03:00 PM,04:00 PM,B場地
FOCUS vs 陽壘聯盟,09/13/2020,09/13/2020,11:00 AM,12:00 PM,C場地
正德一隆 vs FOCUS,09/13/2020,09/13/2020,12:00 PM,01:00 PM,C場地
弘泰 vs FOCUS,09/27/2020,09/27/2020,02:00 PM,03:00 PM,A場地
FOCUS vs FOURTEEN,09/27/2020,09/27/2020,04:00 PM,05:00 PM,A場地
FOCUS vs 台北鄉民,10/18/2020,10/18/2020,11:00 AM,12:00 PM,C場地
Maddog vs FOCUS,10/18/2020,10/18/2020,01:00 PM,02:00 PM,C場地
FOCUS vs 友勁慢壘,11/01/2020,11/01/2020,11:00 AM,12:00 PM,B場地
CENYU vs FOCUS,11/01/2020,11/01/2020,12:00 PM,01:00 PM,B場地
