Subject,Start Date,End Date,Start Time,End Time,Location
陽壘聯盟 vs Maddog,08/16/2020,08/16/2020,11:00 AM,12:00 PM,C場地
Maddog vs 協技科技,08/16/2020,08/16/2020,01:00 PM,02:00 PM,C場地
Maddog vs 逢聯,08/23/2020,08/23/2020,09:00 AM,10:00 AM,B場地
FOURTEEN vs Maddog,08/23/2020,08/23/2020,10:00 AM,11:00 AM,B場地
弘泰 vs Maddog,09/13/2020,09/13/2020,02:00 PM,03:00 PM,C場地
Maddog vs 台北鄉民,09/13/2020,09/13/2020,04:00 PM,05:00 PM,C場地
Maddog vs FOCUS,10/18/2020,10/18/2020,01:00 PM,02:00 PM,C場地
CENYU vs Maddog,10/18/2020,10/18/2020,02:00 PM,03:00 PM,C場地
Maddog vs 友勁慢壘,10/25/2020,10/25/2020,08:00 AM,09:00 AM,A場地
正德一隆 vs Maddog,10/25/2020,10/25/2020,09:00 AM,10:00 AM,A場地
