Subject,Start Date,End Date,Start Time,End Time,Location
利可富 vs 急先鋒,08/30/2020,08/30/2020,12:00 PM,01:00 PM,A場地
牛羊客 vs 利可富,08/30/2020,08/30/2020,01:00 PM,02:00 PM,A場地
利可富 vs 鉅星燈飾,09/13/2020,09/13/2020,03:00 PM,04:00 PM,A場地
魔人普烏 vs 利可富,09/13/2020,09/13/2020,04:00 PM,05:00 PM,A場地
悍馬 vs 利可富,09/27/2020,09/27/2020,08:00 AM,09:00 AM,C場地
利可富 vs 大日停車場,09/27/2020,09/27/2020,10:00 AM,11:00 AM,C場地
利可富 vs 國真車業,10/18/2020,10/18/2020,02:00 PM,03:00 PM,B場地
COMEBUY vs 利可富,10/18/2020,10/18/2020,03:00 PM,04:00 PM,B場地
廣杰矽膠 vs 利可富,10/25/2020,10/25/2020,02:00 PM,03:00 PM,A場地
利可富 vs 品豐,10/25/2020,10/25/2020,04:00 PM,05:00 PM,A場地
