Subject,Start Date,End Date,Start Time,End Time,Location
黃金台科 vs 南港伙車頭,08/23/2020,08/23/2020,10:00 AM,11:00 AM,A場地
南港伙車頭 vs 自動人,08/23/2020,08/23/2020,12:00 PM,01:00 PM,A場地
南港伙車頭 vs 天母慢壘,08/30/2020,08/30/2020,02:00 PM,03:00 PM,C場地
咚咚強 vs 南港伙車頭,08/30/2020,08/30/2020,03:00 PM,04:00 PM,C場地
南港伙車頭 vs 高山校,09/06/2020,09/06/2020,08:00 AM,09:00 AM,A場地
石牌人 vs 南港伙車頭,09/06/2020,09/06/2020,09:00 AM,10:00 AM,A場地
南港伙車頭 vs 海蛟中隊,10/25/2020,10/25/2020,12:00 PM,01:00 PM,A場地
逢聯OB vs 南港伙車頭,10/25/2020,10/25/2020,01:00 PM,02:00 PM,A場地
Buddyclub vs 南港伙車頭,11/01/2020,11/01/2020,11:00 AM,12:00 PM,A場地
南港伙車頭 vs 東林扶輪社,11/01/2020,11/01/2020,01:00 PM,02:00 PM,A場地
