Subject,Start Date,End Date,Start Time,End Time,Location
高山校 vs 天母慢壘,08/16/2020,08/16/2020,08:00 AM,09:00 AM,B場地
天母慢壘 vs 自動人,08/16/2020,08/16/2020,10:00 AM,11:00 AM,C場地
南港伙車頭 vs 天母慢壘,08/30/2020,08/30/2020,02:00 PM,03:00 PM,C場地
天母慢壘 vs 咚咚強,08/30/2020,08/30/2020,04:00 PM,05:00 PM,C場地
天母慢壘 vs 石牌人,09/13/2020,09/13/2020,11:00 AM,12:00 PM,B場地
逢聯OB vs 天母慢壘,09/13/2020,09/13/2020,12:00 PM,01:00 PM,B場地
天母慢壘 vs 東林扶輪社,09/20/2020,09/20/2020,12:00 PM,01:00 PM,A場地
海蛟中隊 vs 天母慢壘,09/20/2020,09/20/2020,01:00 PM,02:00 PM,A場地
天母慢壘 vs Buddyclub,09/27/2020,09/27/2020,09:00 AM,10:00 AM,A場地
黃金台科 vs 天母慢壘,09/27/2020,09/27/2020,10:00 AM,11:00 AM,A場地
