Subject,Start Date,End Date,Start Time,End Time,Location
宏幃 vs 益萊,08/16/2020,08/16/2020,09:00 AM,10:00 AM,A場地
獵狐 vs 宏幃,08/16/2020,08/16/2020,10:00 AM,11:00 AM,A場地
夜鷹 vs 宏幃,08/23/2020,08/23/2020,08:00 AM,09:00 AM,C場地
宏幃 vs 旋風,08/23/2020,08/23/2020,10:00 AM,11:00 AM,C場地
鼎捷國際 vs 宏幃,08/30/2020,08/30/2020,08:00 AM,09:00 AM,B場地
宏幃 vs 128慢壘,08/30/2020,08/30/2020,10:00 AM,11:00 AM,B場地
宏幃 vs 磺溪,09/06/2020,09/06/2020,09:00 AM,10:00 AM,B場地
陳珀勳診所 vs 宏幃,09/06/2020,09/06/2020,10:00 AM,11:00 AM,B場地
宏幃 vs COROKES,09/20/2020,09/20/2020,02:00 PM,03:00 PM,B場地
蝸牛 vs 宏幃,09/20/2020,09/20/2020,03:00 PM,04:00 PM,B場地
宏幃 vs 太和,10/25/2020,10/25/2020,09:00 AM,10:00 AM,C場地
江南虎 vs 宏幃,10/25/2020,10/25/2020,10:00 AM,11:00 AM,C場地
