Subject,Start Date,End Date,Start Time,End Time,Location
旋風 vs 夜鷹,08/23/2020,08/23/2020,09:00 AM,10:00 AM,C場地
宏幃 vs 旋風,08/23/2020,08/23/2020,10:00 AM,11:00 AM,C場地
磺溪 vs 旋風,08/30/2020,08/30/2020,11:00 AM,12:00 PM,C場地
旋風 vs 太和,08/30/2020,08/30/2020,01:00 PM,02:00 PM,C場地
旋風 vs 益萊,09/13/2020,09/13/2020,11:00 AM,12:00 PM,A場地
COROKES vs 旋風,09/13/2020,09/13/2020,12:00 PM,01:00 PM,A場地
江南虎 vs 旋風,09/20/2020,09/20/2020,08:00 AM,09:00 AM,C場地
旋風 vs 128慢壘,09/20/2020,09/20/2020,10:00 AM,11:00 AM,C場地
旋風 vs 蝸牛,10/18/2020,10/18/2020,08:00 AM,09:00 AM,A場地
陳珀勳診所 vs 旋風,10/18/2020,10/18/2020,09:00 AM,10:00 AM,A場地
旋風 vs 鼎捷國際,10/25/2020,10/25/2020,11:00 AM,12:00 PM,C場地
獵狐 vs 旋風,10/25/2020,10/25/2020,12:00 PM,01:00 PM,C場地
