Subject,Start Date,End Date,Start Time,End Time,Location
夜鷹 vs 磺溪,08/16/2020,08/16/2020,02:00 PM,03:00 PM,A場地
磺溪 vs 蝸牛,08/16/2020,08/16/2020,04:00 PM,05:00 PM,A場地
江南虎 vs 磺溪,08/23/2020,08/23/2020,02:00 PM,03:00 PM,C場地
磺溪 vs 獵狐,08/23/2020,08/23/2020,04:00 PM,05:00 PM,B場地
磺溪 vs 旋風,08/30/2020,08/30/2020,11:00 AM,12:00 PM,C場地
太和 vs 磺溪,08/30/2020,08/30/2020,12:00 PM,01:00 PM,C場地
磺溪 vs 陳珀勳診所,09/06/2020,09/06/2020,08:00 AM,09:00 AM,B場地
宏幃 vs 磺溪,09/06/2020,09/06/2020,09:00 AM,10:00 AM,B場地
磺溪 vs 128慢壘,09/27/2020,09/27/2020,11:00 AM,12:00 PM,B場地
益萊 vs 磺溪,09/27/2020,09/27/2020,12:00 PM,01:00 PM,B場地
磺溪 vs COROKES,10/18/2020,10/18/2020,03:00 PM,04:00 PM,A場地
鼎捷國際 vs 磺溪,10/18/2020,10/18/2020,04:00 PM,05:00 PM,A場地
