Subject,Start Date,End Date,Start Time,End Time,Location
逢聯 vs FOURTEEN,08/23/2020,08/23/2020,08:00 AM,09:00 AM,B場地
Maddog vs 逢聯,08/23/2020,08/23/2020,09:00 AM,10:00 AM,B場地
逢聯 vs 正德一隆,08/30/2020,08/30/2020,03:00 PM,04:00 PM,A場地
弘泰 vs 逢聯,08/30/2020,08/30/2020,04:00 PM,05:00 PM,A場地
逢聯 vs FOCUS,09/06/2020,09/06/2020,03:00 PM,04:00 PM,B場地
協技科技 vs 逢聯,09/06/2020,09/06/2020,04:00 PM,05:00 PM,B場地
台北鄉民 vs 逢聯,09/27/2020,09/27/2020,11:00 AM,12:00 PM,A場地
逢聯 vs CENYU,09/27/2020,09/27/2020,01:00 PM,02:00 PM,A場地
友勁慢壘 vs 逢聯,10/18/2020,10/18/2020,08:00 AM,09:00 AM,C場地
逢聯 vs 陽壘聯盟,10/18/2020,10/18/2020,10:00 AM,11:00 AM,C場地
